ID;DESCR;NODEOUT;IMG;EXTDESCR;AREA;OUTLETEASTCOORD;OUTLETNORTHCOORD;AVGQUOTE
1;B1_Adige_a_monte_Diga di Resia;1360;;Adige a monte della Diga di Resia;179625000;;;2366.31872
2;B2_RioRam_confl_Adige;1361;;B2_RioRam_confl_Adige;185437500;;;2118.402427
3;B3_RioSaldura_a_valle_di_RiodiCunalunga;1362;;B3_RioSaldura_a_valle_di_RiodiCunalunga;62625000;;;2637.924152
4;B4_INT_Adige_alla_confl_Rio_Saldura;1363;;B4_INT_Adige_alla_confl_Rio_Saldura;242000000;;;1928.822314
5;B5_Adige_a_monte_confl_RioLasa;1420;;B5_Adige_a_monte_confl_RioLasa;235312500;;;2131.936
6;B6_RioSilandro_a_monte_confl_RiodelleFontante;1421;;B6_RioSilandro_a_monte_confl_RiodelleFontante;33125000;;;2593.584906
7;B7_Rio_Plima_a_monte_DigaGioveretto;1422;;B7_Rio_Plima_a_monte_DigaGioveretto;76937500;;;2742.729488
8;B8_INT_RioPlima_confl_Adige;1423;;B8_RioPlima_confl_Adige;85750000;;;2122.886297
9;B9_Adige_a_monte_Rio_di_Senales;1424;;B9_Adige_a_monte_Rio_di_Senales;240437500;;;1658.305173
10;B10_Rio_di_Senales_a_monte_DigaVernago;1425;;B10_Rio_di_Senales_a_monte_DigaVernago;68750000;;;2565.636364
11;B11_Rio_di_Senales_confl_Adige;1426;;B11_Rio_di_Senales_confl_Adige;152937500;;;2291.499796
12;B12_INT_Adige_a_Tel;1427;;B12_INT_Adige_a_Tel;111937500;;;1604.187605
13;B13_Rio_Plan_a_Plan;1428;;B13_Rio_Plan_a_Plan;49937500;;;2383.854819
14;B14_INT_Passirio_a_Saltusio;1429;;B14_INT_Passirio_a_Saltusio;211625000;;;1702.776137
15;B15_INT_Passirio_a_monte_Adige;1430;;B15_INT_tSaltusio_a_monte_Adige;72312500;;;1387.121867
16;B16_RioValsura_a_monte_DigaZoccolo;1431;;B16_RioValsura_a_monte_DigaZoccolo;174875000;;;2160.900643
17;B17_INT_rValsura_a_monte_DigaAlborelo;1432;;B17_INT_rValsura_a_monte_DigaAlborelo;37687500;;;1619.73466
