Date,Rio Plan a Erschbaum,Rio Riva a Seghe,Rio Anterselva a Bagni Salomone,Rio Braies a Braies,Rio Riva a Caminata,Rio Casies a Colle,Gadera a Pedraces,Aurino a Cadipietra,Ridanna a Vipiteno,Gadera a Mantana,Passirio a Merano,Aurino a Caminata,Aurino a S.Giorgio,Rienza a Vandoies,Adige a Ponte Adige,Adige a Bronzolo
1990-01-01,,,0.7032,,0.7206,0.6821,,0.9439,1.4447,3.8801,,2.9931,5.45,11.8233,24.4451,52.2061
1990-01-02,,,0.6965,,0.7216,0.7061,,1.069,1.4489,3.7952,,3,6.16,15.9151,35.4583,68.8238
1990-01-03,,,0.742,,0.6953,0.7196,,1.1049,1.4373,3.8171,,2.9807,6.35,17.9202,36.7326,74.7073
1990-01-04,,,0.8029,,0.6396,0.7517,,1.1715,1.4172,3.8708,,2.9555,5.55,13.7981,35.4056,68.9148
1990-01-05,,,0.7985,,0.6375,0.7492,,1.2287,1.3849,3.7203,,2.9457,5.93,13.3956,35.7868,66.0068
1990-01-06,,,0.8071,,0.6355,0.729,,1.2678,1.4272,3.8312,,2.8871,5.11,8.1928,24.0993,49.3024
1990-01-07,,,0.8122,,0.5957,0.7718,,1.2149,1.3319,3.636,,2.8476,4.83,6.1128,18.4132,36.791
1990-01-08,,,0.8244,,0.6429,0.8835,,1.2483,1.2431,3.6281,,2.8124,7.23,11.9099,28.4833,56.5231
1990-01-09,,,0.815,,0.6433,0.7502,,1.2888,1.2248,3.4745,,2.8051,7.3,14.6781,34.6562,63.8238
1990-01-10,,,0.8111,,0.6292,0.7531,,1.2841,1.2261,3.6965,,2.7207,8.86,20.814,34.4972,63.742
1990-01-11,,,0.8194,,0.6508,0.8112,,1.2526,1.22,3.5742,,2.7299,8.3,15.2196,35.7042,64.0342
1990-01-12,,,0.8046,,0.678,0.798,,1.2486,1.2159,3.5726,,2.7776,7.23,14.4538,34.4285,64.16
